YEAR,CO2
1980,338.15
1981,339.56
1982,340.79
1983,342.15
1984,343.67
1985,345.19
1986,346.79
1987,348.61
1988,350.56
1989,352.30
1990,353.71
1991,354.85
1992,355.80
1993,356.80
1994,358.12
1995,359.72
1996,361.38
1997,363.18
1998,365.19
1999,367.12
2000,368.79
2001,370.48
2002,372.47
2003,374.61
2004,376.70
2005,378.71
2006,380.93
2007,383.38
2008,385.90
2009,388.47
2010,391.09
2011,393.77
2012,396.49
2013,399.25
2014,402.05
2015,404.88
2016,407.75
2017,410.63
2018,413.55
2019,416.48
2020,419.43
2021,422.40
2022,425.39
2023,428.39
2024,431.41
2025,434.46
2026,437.53
2027,440.64
2028,443.80
2029,447.00
2030,450.26
2031,453.60
2032,457.01
2033,460.52
2034,464.13
2035,467.85
2036,471.69
2037,475.65
2038,479.74
2039,483.96
2040,488.32
2041,492.82
2042,497.45
2043,502.22
2044,507.13
2045,512.16
2046,517.33
2047,522.63
2048,528.05
2049,533.60
2050,539.28
2051,545.08
2052,551.00
2053,557.06
2054,563.24
2055,569.55
2056,575.99
2057,582.58
2058,589.29
2059,596.15
2060,603.16
2061,610.30
2062,617.59
2063,625.03
2064,632.60
2065,640.32
2066,648.17
2067,656.15
2068,664.26
2069,672.48
2070,680.81
2071,689.25
2072,697.77
2073,706.37
2074,715.06
2075,723.81
2076,732.62
2077,741.48
2078,750.38
2079,759.33
2080,768.33
