YEAR,CO2
1980,338.15
1981,339.56
1982,340.79
1983,342.15
1984,343.67
1985,345.19
1986,346.79
1987,348.61
1988,350.56
1989,352.30
1990,353.71
1991,354.85
1992,355.80
1993,356.80
1994,358.12
1995,359.72
1996,361.38
1997,363.18
1998,365.19
1999,367.12
2000,368.79
2001,370.48
2002,372.47
2003,374.61
2004,376.70
2005,378.71
2006,380.63
2007,382.48
2008,384.42
2009,386.44
2010,388.55
2011,390.75
2012,393.03
2013,395.39
2014,397.84
2015,400.37
2016,402.98
2017,405.67
2018,408.43
2019,411.26
2020,414.16
2021,417.13
2022,420.16
2023,423.26
2024,426.42
2025,429.64
2026,432.92
2027,436.27
2028,439.68
2029,443.15
2030,446.69
2031,450.29
2032,453.97
2033,457.73
2034,461.57
2035,465.49
2036,469.51
2037,473.62
2038,477.84
2039,482.17
2040,486.61
2041,491.18
2042,495.87
2043,500.69
2044,505.64
2045,510.74
2046,515.98
2047,521.37
2048,526.91
2049,532.59
2050,538.44
2051,544.44
2052,550.59
2053,556.89
2054,563.35
2055,569.96
2056,576.72
2057,583.62
2058,590.66
2059,597.84
2060,605.15
2061,612.59
2062,620.15
2063,627.83
2064,635.62
2065,643.53
2066,651.54
2067,659.65
2068,667.87
2069,676.18
2070,684.59
2071,693.09
2072,701.68
2073,710.37
2074,719.14
2075,728.00
2076,736.93
2077,745.94
2078,755.02
2079,764.16
2080,773.35
